iter	Passed	Remaining
0	0	72
1	1	63
2	1	61
3	2	56
4	2	55
5	3	55
6	4	54
7	4	53
8	5	52
9	5	51
10	6	50
11	6	49
12	7	49
13	7	48
14	8	47
15	8	46
16	9	46
17	10	45
18	10	44
19	11	44
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	40
26	14	40
27	15	39
28	15	38
29	16	38
30	16	37
31	17	37
32	18	36
33	19	37
34	21	40
35	22	40
36	23	40
37	24	40
38	26	40
39	38	57
40	38	56
41	39	54
42	39	52
43	40	51
44	41	50
45	43	50
46	44	49
47	44	48
48	45	47
49	46	46
50	48	46
51	48	45
52	49	44
53	50	43
54	51	41
55	51	40
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	60	28
68	60	27
69	61	26
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	14
82	68	14
83	69	13
84	69	12
85	70	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	73	6
92	74	5
93	74	4
94	75	3
95	75	3
96	76	2
97	76	1
98	77	0
99	78	0
